date,district,so2,no2,rspm,spm,AQI,Rice_area,Rice_production,Rice_yield,Wheat_area,Wheat_production,Wheat_yield
1998-99,FARIDABAD,35.9,12.06666667,164.467617,435,435,30124,70000,2.323728589,128881,459000,3.56142488
1999-00,FARIDABAD,36.6,11.03333333,164.467617,403.6666667,403.6666667,28820,58000,2.012491325,130923,545000,4.162752152
2000-01,FARIDABAD,23.25833333,15.14166667,164.467617,334.4166667,334.4166667,28959,80000,2.76252633,133898,539000,4.02545221
2001-02,FARIDABAD,12.85833333,26.85,164.467617,474.1666667,474.1666667,31274,88000,2.813838972,132332,520000,3.929510625
2002-03,FARIDABAD,8.786252463,27.57877953,164.467617,390.1373487,390.1373487,18092,48000,2.653106345,128491,526000,4.09367193
2003-04,FARIDABAD,8.459111111,22.90844444,162.3555556,273.28,273.28,28333,78000,2.752973564,131447,520000,3.955967044
2004-05,FARIDABAD,9.109223301,21.49951456,158.0048544,354.6504854,354.6504854,28255,68000,2.40665369,135774,526000,3.874084876
2005-06,FARIDABAD,9.853191489,21.48794326,162.0496454,375.352518,375.352518,26376,70000,2.653927813,104549,383000,3.663354025
2006-07,FARIDABAD,10.70244636,20.00405661,162.6844265,338.8995871,338.8995871,27360,84000,3.070175439,104820,389000,3.711123831
2007-08,FARIDABAD,11.68699063,16.59675194,157.9212472,338.8995871,338.8995871,29214,94000,3.21763538,103867,485000,4.669433025
2008-09,FARIDABAD,13.64944374,17.33573404,155.1926127,338.8995871,338.8995871,8447,22000,2.604474962,33660,159000,4.723707665
2009-10,FARIDABAD,17.43568465,28.23236515,161.8589212,338.8995871,338.8995871,9560,24000,2.510460251,33850,136000,4.017725258
2010-11,FARIDABAD,20.46575342,44.15068493,175.1004566,338.8995871,338.8995871,9550,18000,1.884816754,31683,145000,4.576586813
2011-12,FARIDABAD,11.62176166,37.78756477,181.2971503,338.8995871,338.8995871,11554,28000,2.42340315,30475,150000,4.922067268
